mmsi_a,mmsi_b,name_a,name_b,time_a,time_b,collision_time,lat_a,lon_a,lat_b,lon_b,collision_lat,collision_lon,sog_a,sog_b,cog_a,cog_b,length_m_a,length_m_b,time_delta_seconds,distance_nm
219017554,219021219,SILLE BOB,JANNE,2021-12-29T13:44:29.000Z,2021-12-29T13:44:55.000Z,2021-12-29T13:44:42.000Z,55.188623,14.701807,55.188648,14.701783,55.188635500000004,14.701795,2.3,2.7,26.8,49.5,5.0,6.0,26,0.0017116463830631466
219023182,219027087,CHARVIL,NYBOLIG,2021-12-13T14:24:57.000Z,2021-12-13T14:24:59.000Z,2021-12-13T14:24:58.000Z,55.061808,15.147693,55.061777,15.147682,55.061792499999996,15.1476875,3.6,3.7,346.2,347.3,7.0,7.0,2,0.0018992964444717584
265547110,265768850,"",RESCUE SPARB. SKANE,2021-12-20T18:16:38.000Z,2021-12-20T18:16:44.000Z,2021-12-20T18:16:41.000Z,55.389305,13.783275,55.389335,13.783253,55.38932,13.783263999999999,1.6,1.7,113.4,95.5,,8.0,6,0.0019512211786212202
265547110,265768850,RESCUE SJOMANSHUSET,RESCUE SPARB. SKANE,2021-12-20T18:51:06.000Z,2021-12-20T18:50:50.000Z,2021-12-20T18:50:58.000Z,55.37409,13.748935,55.374078,13.748868,55.374083999999996,13.748901499999999,1.0,1.0,53.0,24.3,12.0,8.0,16,0.00239663054979849
265646280,265695200,KBV 432,RESCUE PANTAMERA,2021-12-16T07:59:01.000Z,2021-12-16T07:59:43.000Z,2021-12-16T07:59:22.000Z,55.573635,14.357117,55.57359,14.357118,55.5736125,14.357117500000001,1.6,1.7,99.0,276.4,,8.0,42,0.0027020339463621115
231848000,565835000,SVITZER GEO,PROMETHEUS LEADER,2021-12-12T07:53:44.000Z,2021-12-12T07:54:15.000Z,2021-12-12T07:53:59.000Z,55.63565,12.96819,55.6356,12.968153,55.635625,12.9681715,5.8,5.7,144.8,144.2,32.0,190.0,31,0.0032533812010251298
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T09:22:12.000Z,2021-12-16T09:22:58.000Z,2021-12-16T09:22:35.000Z,55.575282,14.35396,55.575332,14.353907,55.575307,14.3539335,1.3,1.2,343.7,268.6,12.0,8.0,46,0.003499760030615581
230053260,265512660,SOUND NEPTUNUS,SOUND CASTOR,2021-12-17T11:01:58.000Z,2021-12-17T11:02:11.000Z,2021-12-17T11:02:04.000Z,55.68286,14.42926,55.682833,14.429167,55.6828465,14.4292135,6.0,6.0,193.1,193.8,26.0,17.0,13,0.003540861158819547
265675230,266334000,KBV 314,KBV 034,2021-12-16T07:29:48.000Z,2021-12-16T07:29:44.000Z,2021-12-16T07:29:46.000Z,55.57416,14.367297,55.574198,14.36738,55.574179,14.3673385,1.1,1.0,279.4,293.0,26.0,49.0,4,0.0036252603077435567
230053260,265512660,SOUND NEPTUNUS,SOUND CASTOR,2021-12-17T11:10:00.000Z,2021-12-17T11:10:11.000Z,2021-12-17T11:10:05.000Z,55.669643,14.423872,55.669617,14.423767,55.66963,14.4238195,6.1,6.1,193.4,193.8,26.0,17.0,11,0.003882979030657237
